,loc,prod,ExportValue,time,diversity,ubiquity,mcp,eci,pci,density,coi,cog,rca,POPIS,description,relatedness,WorldExport,EUExport,EUTopExporter,EUWorldMarketShare,hhi,euhhi,CZE_WorldMarketShare,CZE_EUMarketShare
22,CZE,10612,0.0,2022,1349,8,0,1.6386860903125862,-1.0313661027652312,0.23018925120091346,1.299316789410373,0.07524656436020999,0.0,"Velryby,delfíni,sviňuchy,kapustňáci,dugungové,tuleni,lvouni,mroži,živí","Mammals: live, whales, dolphins and porpoises (mammals of the order Cetacea): manatees and dugongs (mammals of the order Sirenia): seals, sea lions and walruses (mammals of the suborder Pinnipedia)",0.23018925120091346,16617534.0,2657425.0,ESP,0.15991692870915744,0.5776507472581724,0.987311503490443,0.0,0.0
23,CZE,10613,76826.00000000001,2022,1349,14,0,1.6386860903125862,-3.5400068358322057,0.1763295256623847,1.299316789410373,-0.2796151153368051,0.03902389606674059,"Velbloudi a jiní velbloudovití, živí","Mammals: live, camels and other camelids (Camelidae)",0.17632952566238466,203243440.0,497638.0,BEL,0.0024484824700861194,0.36272551247412405,0.15581058759914113,0.00037799990002137347,0.15438129724820052
24,CZE,10614,85517.0,2022,1349,15,0,1.6386860903125862,0.6291927017064542,0.28949009861800984,1.299316789410373,0.10828147128406698,0.2146484035875343,"Králíci a zajíci, živí","Mammals: live, rabbits and hares",0.2894900986180097,41130476.0,33423119.0,NLD,0.8126120154797138,0.18456644894546037,0.24953386933642246,0.002079163878385458,0.002558618182821298
25,CZE,10619,7809782.0,2022,1349,47,1,1.6386860903125862,0.4370448129173685,0.34812299756942827,1.299316789410373,-0.0,2.5494733682223925,Domácí králíci,"Mammals: live, other than primates, whales, dolphins, porpoises (mammals of the order Cetacea): manatees, dugongs (mammals of the order Sirenia): seals, sea lions, walruses (mammals of the suborder Pinnipedia), camels, other camelids, rabbits and hares",0.34812299756942794,316247698.0,148418509.0,FRA,0.4693109544784734,0.09025324051580054,0.13890345137934346,0.02469514260306173,0.052620000380141266
26,CZE,10620,2692310.0,2022,1349,44,1,1.6386860903125862,-2.6283104414865135,0.3049030040932452,1.299316789410373,-0.0,3.662074630549977,Plazi (včetně hadů a želv),Reptiles: live (including snakes and turtles),0.30490300409324517,75899133.0,20132265.0,DEU,0.26525026313541683,0.06801044857229785,0.272887367794577,0.035472210202980844,0.13373110278451034
27,CZE,10631,697610.0,2022,1349,23,1,1.6386860903125862,0.4166385410284969,0.3367490422344308,1.299316789410373,-0.0,3.0348442286086503,Dravci,"Birds: live, birds of prey",0.33674904223443053,23730956.0,13523957.0,DEU,0.5698867335980902,0.13714580907613572,0.28326036525346543,0.029396624392207377,0.05158327551618214
28,CZE,10632,3911713.0,2022,1349,31,1,1.6386860903125862,-1.269243177998771,0.3070558057335855,1.299316789410373,-0.0,14.51323083077202,"Papouškovití (vč. papoušků, makaů apod)","Birds: live, Psittaciformes",0.30705580573358543,27825426.0,12699872.0,CZE,0.4564124912229556,0.14301593258806544,0.21608084194281768,0.1405805251642868,0.3080120020107289
29,CZE,10633,28056.0,2022,1349,11,1,1.6386860903125862,-0.639435109041211,0.35029819599839623,1.299316789410373,-0.0,3.840725717583888,"Pštrosi, emuové, živí","Birds: live, ostriches: emus (Dromaius novaehollandiae)",0.3502981959983963,754139.0,89023.0,BEL,0.11804587748412428,0.32601741141915996,0.3332086012774927,0.03720269075064411,0.31515451063208383
30,CZE,10639,956881.0,2022,1349,46,1,1.6386860903125862,-2.0556954835347305,0.30655851628716074,1.299316789410373,-0.0,1.450096649364069,Holubi a ostatní ptáci j.n.,"Birds: live, other than birds of prey, Psittaciformes, ostriches and emus (Dromaius novaehollandiae)",0.3065585162871612,68123966.0,39885524.0,BEL,0.5854844681238905,0.07963092097023734,0.2060610974368191,0.014046172825580941,0.023990683938363202
31,CZE,10641,90374.0,2022,1349,18,0,1.6386860903125862,0.007569307457907299,0.25215639322573935,1.299316789410373,-0.10413110468005325,0.1120524219645618,"Včely, živé","Insects: live, bees",0.2521563932257393,83264753.0,42524362.0,SVK,0.5107126421188086,0.143290695491696,0.2635742491068731,0.001085381229678301,0.002125228827654134
32,CZE,10649,522607.0,2022,1349,18,0,1.6386860903125862,0.3096593084820139,0.2865881229647943,1.299316789410373,0.07218850926395913,0.2157218558796424,"Hmyz ostatní, živý","Insects: live, other than bees",0.28658812296479436,250103642.0,155805181.0,NLD,0.6229624636973499,0.11470018650134167,0.2494732832756484,0.0020895617345708223,0.0033542337722389346
33,CZE,10690,1648139.0000000002,2022,1349,31,0,1.6386860903125862,-0.7566099910944493,0.2900351032183675,1.299316789410373,-0.20008937853566475,0.668862253338359,Ostatní živá zvířata j.n.,"Animals: live, n.e.c. in chapter 01, other than mammals, reptiles, birds and insects",0.2900351032183672,254387688.99999997,151444809.0,NLD,0.5953307315905528,0.13277088485026708,0.294593806421994,0.0064788473313266365,0.010882769841256166
34,CZE,20110,2705123.0000000005,2022,1349,26,0,1.6386860903125862,0.6219665907562557,0.3193147831553121,1.299316789410373,0.04605911344114691,0.10755001909972516,"Maso hovězí,čerstvé,chlazené,v celku,půlené","Meat: of bovine animals, carcasses and half-carcasses, fresh or chilled",0.3193147831553122,2596662263.0,2020775668.0,ESP,0.7782204473774493,0.09108898770877395,0.11875246837017711,0.0010417692891930785,0.0013386557661184194
35,CZE,20120,30933054.0,2022,1349,26,0,1.6386860903125862,0.9850111251755979,0.32064600373061897,1.299316789410373,0.08388146534216752,0.5591057870443926,"Maso hovězí ost,čerstvé,chlazené,nevykostěné","Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), fresh or chilled",0.320646003730619,5711731104.0,3942150081.0,POL,0.6901848159902452,0.0745514015894855,0.12050971453912977,0.005415705578005445,0.007846746918410892
36,CZE,20130,47933097.0,2022,1349,18,0,1.6386860903125862,0.23780862966704724,0.28699207942429994,1.299316789410373,-0.005801328084022328,0.2367324102556815,"Maso hovězí,čerstvé,chlazené,vykostěné","Meat: of bovine animals, boneless cuts, fresh or chilled",0.2869920794242999,20903389431.0,6436672763.0,NLD,0.3079248360294302,0.08858040726324462,0.1763409111970119,0.0022930777402498464,0.007446874925121931
37,CZE,20210,34469.0,2022,1349,30,0,1.6386860903125862,-0.9228310003722479,0.289722515279913,1.299316789410373,-0.34641376111449046,0.03434697705472668,"Maso hovězí zmrazené,v celku,půlené","Meat: of bovine animals, carcasses and half-carcasses, frozen",0.2897225152799129,103604616.0,43126815.0,POL,0.41626345104160223,0.08077435478079116,0.20289951304830398,0.0003326975315462778,0.0007992475215246014
38,CZE,20220,517789.0,2022,1349,20,0,1.6386860903125862,-0.5719725664987563,0.2690938781032253,1.299316789410373,-0.19799642191447164,0.016907700917554027,"Maso hovězí ostatní zmrazené,nevykostěné","Meat: of bovine animals, cuts with bone in (excluding carcasses and half-carcasses), frozen",0.26909387810322527,3161602049.0,269338882.0,NLD,0.08519063368053884,0.18932848401266547,0.16536501683123075,0.00016377424861670185,0.0019224443056832768
39,CZE,20230,7037714.0,2022,1349,20,0,1.6386860903125862,-0.6808065292369005,0.2551935808188865,1.299316789410373,-0.20898601873149855,0.020513029864005834,"Maso hovězí zmrazené,vykostěné","Meat: of bovine animals, boneless cuts, frozen",0.25519358081888643,35419362723.0,2927622753.0,IRL,0.08265599739599244,0.14434542210113127,0.12949139517597671,0.0001986967991219665,0.0024039005684008633
40,CZE,20311,28233275.0,2022,1349,20,1,1.6386860903125862,2.4637578334240806,0.3607085793309304,1.299316789410373,0.0,1.2385257966862522,"Maso vepřové čerstvé,chlazené,v celku,půlené","Meat: of swine, carcasses and half-carcasses, fresh or chilled",0.3607085793309304,2353396715.0,2202744806.0,BEL,0.9359853321627501,0.21083798707902243,0.2389231460091088,0.011996819244306628,0.01281731543440534
41,CZE,20312,6298876.0,2022,1349,9,0,1.6386860903125862,3.267537732536057,0.28068059895496816,1.299316789410373,0.6822666021968994,0.15184766518392853,"Šunky,plece vepř.čerstvé,chlazené,nevykostěné","Meat: of swine, hams, shoulders and cuts thereof, with bone in, fresh or chilled",0.2806805989549682,4282465586.0,2507894129.0,DNK,0.5856192136601562,0.17081157696976268,0.18291696893869705,0.0014708526836950979,0.0025116195804133165
42,CZE,20319,42429983.0,2022,1349,14,0,1.6386860903125862,2.711310408083144,0.30648151665767565,1.299316789410373,0.58221951538126,0.4194602709413305,"Maso vepřové ostatní čerstvé,chlazené","Meat: of swine, n.e.c. in item no. 0203.1, fresh or chilled",0.30648151665767576,10442896316.0,6918741501.0,DEU,0.6625309005892843,0.13313093458361464,0.19534697985257718,0.004063047426315173,0.0061326157356605075
43,CZE,20321,473936.00000000006,2022,1349,21,0,1.6386860903125862,0.9444462825344226,0.28414188486466685,1.299316789410373,0.07082054220921091,0.20460499381082897,"Maso vepřové zmarazené,v celku,půlené","Meat: of swine, carcasses and half-carcasses, frozen",0.2841418848646668,239134596.0,110199463.0,ESP,0.4608260989555857,0.11033992206441377,0.15713561407218785,0.0019818796942287684,0.004300710612355707
44,CZE,20322,2133106.0,2022,1349,16,0,1.6386860903125862,1.5685670135579612,0.2954785745341168,1.299316789410373,0.1665392198472798,0.15825120484925348,"Šunky,plece vepřové zmrazené,nevykostěné","Meat: of swine, hams, shoulders and cuts thereof, with bone in, frozen",0.29547857453411697,1391567744.0,869627551.0,ESP,0.6249264936971692,0.12759693564426153,0.24141950047495134,0.0015328797388393619,0.002452896067456814
45,CZE,20329,13722254.0,2022,1349,18,0,1.6386860903125862,1.920167872496398,0.30810354314173133,1.299316789410373,0.24458480493689255,0.09122516063142559,Maso vepřové ostatní zmrazené,"Meat: of swine, n.e.c. in item no. 0203.2, frozen",0.30810354314173155,15529224144.0,8554887323.0,ESP,0.5508895514464796,0.11022289203092328,0.20454980257045235,0.0008836406682494723,0.0016040251007289625
